123 1
-150.00  40
-130.00  16
-122.00  8
-120.00  8
-118.00  8
-116.00  8
-114.00  8
-112.00  8
-110.00  8
-108.00  8
-106.00  8
-104.00  8
-102.00  8
-100.00  8
-98.00  8
-96.00  8
-94.00  8
-92.00  8
-90.00  8
-88.00  8
-86.00  8
-84.00  8
-82.00  8
-80.00  8
-78.00  8
-76.00  8
-74.00  8
-72.00  8
-70.00  8
-68.00  8
-66.00  8
-64.00  8
-62.00  8
-60.00  8
-58.00  8
-56.00  8
-54.00  8
-52.00  8
-50.00  8
-48.00  8
-46.00  8
-44.00  8
-42.00  8
-40.00  8
-38.00  8
-36.00  8
-34.00  8
-32.00  4
-31.00  4
-30.00  4
-29.00  4
-28.00  4
-27.00  4
-26.00  8
-25.00  8
-24.00  8
-23.00  8
-22.00  8
-21.00  4
-20.50  4
-20.00  4
-19.50  4
-19.00  4
-18.50  4
-18.00  4
-17.50  4
-17.00  4
-16.50  4
-16.00  4
-15.50  4
-15.00  2
-14.75  2
-14.50  2
-14.25  2
-14.00  2
-13.75  2
-13.50  2
-13.25  2
-13.00  2
-12.75  2
-12.50  2
-12.25  2
-12.00  2
-11.75  2
-11.50  2
-11.25  2
-11.00  2
-10.75  2
-10.50  2
-10.25  2
-10.00  2
-9.75  2
-9.50  2
-9.25  2
-9.00  2
-8.75  2
-8.50  2
-8.25  2
-8.00  4
-7.50  4
-7.00  4
-6.50  4
-6.00  4
-5.50  4
-5.00  4
-4.50  2
-4.25  2
-4.00  2
-3.75  2
-3.50  2
-3.25  2
-3.00  2
-2.75  2
-2.50  2
-2.25  2
-2.00  2
-1.75  2
-1.50  2
-1.25  2
-1.00  2
-0.75  2
-0.50  2
-0.25  2
-0.00  0
